term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
36 months,A,2011-01-31,3506475,2014-06-30,595,41
36 months,A,2011-02-28,2666075,,,
36 months,A,2011-02-28,2666075,2011-10-31,4720,8
36 months,A,2011-02-28,2666075,2012-01-31,9846,11
36 months,A,2011-02-28,2666075,2012-02-29,10181,12
36 months,A,2011-02-28,2666075,2012-03-31,5952,13
36 months,A,2011-02-28,2666075,2012-04-30,3722,14
36 months,A,2011-02-28,2666075,2012-05-31,1846,15
36 months,A,2011-02-28,2666075,2012-06-30,7957,16
36 months,A,2011-02-28,2666075,2012-07-31,3948,17
36 months,A,2011-02-28,2666075,2012-08-31,4695,18
36 months,A,2011-02-28,2666075,2012-10-31,4296,20
36 months,A,2011-02-28,2666075,2012-11-30,3021,21
36 months,A,2011-02-28,2666075,2012-12-31,1284,22
36 months,A,2011-02-28,2666075,2013-06-30,6938,28
36 months,A,2011-03-31,2801725,,,
36 months,A,2011-03-31,2801725,2011-11-30,7593,8
36 months,A,2011-03-31,2801725,2011-12-31,7405,9
36 months,A,2011-03-31,2801725,2012-01-31,9705,10
36 months,A,2011-03-31,2801725,2012-02-29,10184,11
36 months,A,2011-03-31,2801725,2012-03-31,2932,12
36 months,A,2011-03-31,2801725,2012-06-30,6222,15
36 months,A,2011-03-31,2801725,2012-11-30,6356,20
36 months,A,2011-03-31,2801725,2013-01-31,1760,22
36 months,A,2011-03-31,2801725,2013-04-30,1795,25
36 months,A,2011-03-31,2801725,2013-09-30,1436,30
36 months,A,2011-03-31,2801725,2013-10-31,4503,31
36 months,A,2011-03-31,2801725,2014-06-30,1659,39
36 months,A,2011-03-31,2801725,2014-07-31,173,40
36 months,A,2011-04-30,2592500,,,
36 months,A,2011-04-30,2592500,2011-09-30,2000,5
36 months,A,2011-04-30,2592500,2011-12-31,7978,8
36 months,A,2011-04-30,2592500,2012-01-31,1080,9
36 months,A,2011-04-30,2592500,2012-04-30,1975,12
36 months,A,2011-04-30,2592500,2012-05-31,4764,13
36 months,A,2011-04-30,2592500,2012-06-30,3237,14
36 months,A,2011-04-30,2592500,2012-10-31,5705,18
36 months,A,2011-04-30,2592500,2013-11-30,2526,31
36 months,A,2011-04-30,2592500,2014-01-31,2197,33
36 months,A,2011-04-30,2592500,2014-02-28,493,34
36 months,A,2011-04-30,2592500,2014-04-30,1741,36
36 months,A,2011-05-31,3156650,,,
36 months,A,2011-05-31,3156650,2011-12-31,6649,7
36 months,A,2011-05-31,3156650,2012-03-31,6104,10
36 months,A,2011-05-31,3156650,2012-04-30,4749,11
36 months,A,2011-05-31,3156650,2012-08-31,3486,15
36 months,A,2011-05-31,3156650,2012-09-30,4769,16
36 months,A,2011-05-31,3156650,2012-10-31,5558,17
36 months,A,2011-05-31,3156650,2012-11-30,6021,18
36 months,A,2011-05-31,3156650,2012-12-31,6341,19
36 months,A,2011-05-31,3156650,2013-02-28,16635,21
36 months,A,2011-05-31,3156650,2013-04-30,1068,23
36 months,A,2011-05-31,3156650,2013-08-31,2632,27
36 months,A,2011-05-31,3156650,2013-10-31,7063,29
36 months,A,2011-05-31,3156650,2013-11-30,1683,30
36 months,A,2011-05-31,3156650,2014-02-28,1525,33
36 months,A,2011-05-31,3156650,2014-03-31,2456,34
36 months,A,2011-05-31,3156650,2014-04-30,4571,35
36 months,A,2011-05-31,3156650,2014-06-30,766,37
36 months,A,2011-05-31,3156650,2014-07-31,461,38
36 months,A,2011-05-31,3156650,2014-08-31,2630,39
36 months,A,2011-06-30,3663125,,,
36 months,A,2011-06-30,3663125,2011-11-30,9600,5
36 months,A,2011-06-30,3663125,2012-03-31,1796,9
36 months,A,2011-06-30,3663125,2012-05-31,1690,11
36 months,A,2011-06-30,3663125,2012-07-31,4940,13
36 months,A,2011-06-30,3663125,2012-10-31,722,16
36 months,A,2011-06-30,3663125,2012-11-30,7125,17
36 months,A,2011-06-30,3663125,2012-12-31,5848,18
36 months,A,2011-06-30,3663125,2013-01-31,3087,19
36 months,A,2011-06-30,3663125,2013-02-28,3210,20
36 months,A,2011-06-30,3663125,2013-03-31,21779,21
36 months,A,2011-06-30,3663125,2013-04-30,1652,22
36 months,A,2011-06-30,3663125,2013-09-30,540,27
36 months,A,2011-06-30,3663125,2013-11-30,4030,29
36 months,A,2011-06-30,3663125,2014-01-31,4202,31
36 months,A,2011-06-30,3663125,2014-02-28,567,32
36 months,A,2011-06-30,3663125,2014-04-30,518,34
36 months,A,2011-06-30,3663125,2014-06-30,461,36
36 months,A,2011-06-30,3663125,2014-07-31,2310,37
36 months,A,2011-06-30,3663125,2014-11-30,379,41
36 months,A,2011-07-31,3800425,,,
36 months,A,2011-07-31,3800425,2011-12-31,1500,5
36 months,A,2011-07-31,3800425,2012-02-29,8026,7
36 months,A,2011-07-31,3800425,2012-04-30,5078,9
36 months,A,2011-07-31,3800425,2012-07-31,9496,12
36 months,A,2011-07-31,3800425,2012-09-30,9186,14
36 months,A,2011-07-31,3800425,2012-10-31,23163,15
36 months,A,2011-07-31,3800425,2012-11-30,3615,16
36 months,A,2011-07-31,3800425,2012-12-31,18498,17
36 months,A,2011-07-31,3800425,2013-03-31,8391,20
36 months,A,2011-07-31,3800425,2013-04-30,5863,21
36 months,A,2011-07-31,3800425,2013-05-31,2789,22
36 months,A,2011-07-31,3800425,2013-08-31,6038,25
36 months,A,2011-07-31,3800425,2013-12-31,1646,29
36 months,A,2011-07-31,3800425,2014-01-31,11551,30
36 months,A,2011-07-31,3800425,2014-02-28,866,31
36 months,A,2011-07-31,3800425,2014-05-31,6859,34
36 months,A,2011-07-31,3800425,2014-08-31,487,37
36 months,A,2011-08-31,4816625,,,
36 months,A,2011-08-31,4816625,2012-04-30,41148,8
36 months,A,2011-08-31,4816625,2012-05-31,6751,9
36 months,A,2011-08-31,4816625,2012-08-31,3687,12
36 months,A,2011-08-31,4816625,2012-09-30,14953,13
36 months,A,2011-08-31,4816625,2012-10-31,17792,14
36 months,A,2011-08-31,4816625,2012-12-31,14037,16
36 months,A,2011-08-31,4816625,2013-01-31,9120,17
36 months,A,2011-08-31,4816625,2013-03-31,1067,19
36 months,A,2011-08-31,4816625,2013-04-30,17509,20
36 months,A,2011-08-31,4816625,2013-05-31,4382,21
36 months,A,2011-08-31,4816625,2013-06-30,9244,22
36 months,A,2011-08-31,4816625,2013-08-31,2033,24
36 months,A,2011-08-31,4816625,2013-10-31,3701,26
36 months,A,2011-08-31,4816625,2013-11-30,5848,27
36 months,A,2011-08-31,4816625,2013-12-31,2510,28
36 months,A,2011-08-31,4816625,2014-03-31,1523,31
36 months,A,2011-08-31,4816625,2014-04-30,4051,32
36 months,A,2011-08-31,4816625,2014-05-31,7961,33
36 months,A,2011-08-31,4816625,2014-06-30,1317,34
36 months,A,2011-08-31,4816625,2014-09-30,3535,37
36 months,A,2011-09-30,5852950,,,
36 months,A,2011-09-30,5852950,2012-06-30,11033,9
36 months,A,2011-09-30,5852950,2012-07-31,1307,10
36 months,A,2011-09-30,5852950,2012-08-31,4863,11
36 months,A,2011-09-30,5852950,2012-09-30,9860,12
36 months,A,2011-09-30,5852950,2012-11-30,14617,14
36 months,A,2011-09-30,5852950,2012-12-31,12838,15
36 months,A,2011-09-30,5852950,2013-01-31,3729,16
36 months,A,2011-09-30,5852950,2013-02-28,7214,17
36 months,A,2011-09-30,5852950,2013-03-31,4657,18
36 months,A,2011-09-30,5852950,2013-04-30,5339,19
