term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
36 months,D,2014-12-31,10113750,2015-07-31,22609,7
36 months,D,2015-01-31,39649225,,,
36 months,D,2015-01-31,39649225,2015-06-30,81500,5
36 months,D,2015-01-31,39649225,2015-07-31,43883,6
36 months,D,2015-02-28,24363325,,,
36 months,D,2015-02-28,24363325,2015-07-31,10000,5
36 months,D,2015-03-31,25896525,,,
36 months,D,2015-04-30,38880750,,,
36 months,D,2015-05-31,33503825,,,
36 months,D,2015-06-30,28349825,,,
36 months,E,2007-06-30,8500,,,
36 months,E,2007-07-31,35850,,,
36 months,E,2007-07-31,35850,2009-05-31,1114,22
36 months,E,2007-07-31,35850,2009-06-30,1441,23
36 months,E,2007-08-31,70500,,,
36 months,E,2007-08-31,70500,2009-06-30,2339,22
36 months,E,2007-08-31,70500,2010-07-31,3923,35
36 months,E,2007-09-30,36400,,,
36 months,E,2007-09-30,36400,2008-08-31,8605,11
36 months,E,2007-09-30,36400,2009-02-28,3556,17
36 months,E,2007-09-30,36400,2009-05-31,1585,20
36 months,E,2007-10-31,142350,,,
36 months,E,2007-10-31,142350,2009-01-31,8080,15
36 months,E,2007-10-31,142350,2009-03-31,6552,17
36 months,E,2007-10-31,142350,2009-04-30,4120,18
36 months,E,2007-10-31,142350,2009-08-31,2436,22
36 months,E,2007-10-31,142350,2010-05-31,3339,31
36 months,E,2007-10-31,142350,2011-01-31,330,39
36 months,E,2007-11-30,211000,,,
36 months,E,2007-11-30,211000,2009-02-28,5349,15
36 months,E,2007-11-30,211000,2009-03-31,13784,16
36 months,E,2007-11-30,211000,2009-07-31,9738,20
36 months,E,2007-11-30,211000,2009-08-31,572,21
36 months,E,2007-11-30,211000,2009-11-30,5813,24
36 months,E,2007-11-30,211000,2010-11-30,249,36
36 months,E,2007-11-30,211000,2011-02-28,801,39
36 months,E,2007-11-30,211000,2011-04-30,6316,41
36 months,E,2007-12-31,309225,,,
36 months,E,2007-12-31,309225,2008-10-31,7088,10
36 months,E,2007-12-31,309225,2008-11-30,707,11
36 months,E,2007-12-31,309225,2009-03-31,27741,15
36 months,E,2007-12-31,309225,2009-06-30,17129,18
36 months,E,2007-12-31,309225,2009-07-31,21299,19
36 months,E,2007-12-31,309225,2009-10-31,7073,22
36 months,E,2007-12-31,309225,2009-12-31,12344,24
36 months,E,2008-01-31,396200,,,
36 months,E,2008-01-31,396200,2008-10-31,13615,9
36 months,E,2008-01-31,396200,2008-12-31,21229,11
36 months,E,2008-01-31,396200,2009-01-31,6199,12
36 months,E,2008-01-31,396200,2009-03-31,19677,14
36 months,E,2008-01-31,396200,2009-04-30,3814,15
36 months,E,2008-01-31,396200,2009-05-31,3825,16
36 months,E,2008-01-31,396200,2009-07-31,4299,18
36 months,E,2008-01-31,396200,2009-09-30,13459,20
36 months,E,2008-01-31,396200,2009-11-30,1169,22
36 months,E,2008-01-31,396200,2010-03-31,1034,26
36 months,E,2008-01-31,396200,2010-05-31,7012,28
36 months,E,2008-01-31,396200,2010-07-31,2081,30
36 months,E,2008-01-31,396200,2010-08-31,2135,31
36 months,E,2008-01-31,396200,2010-10-31,3497,33
36 months,E,2008-02-29,381625,,,
36 months,E,2008-02-29,381625,2008-09-30,4775,7
36 months,E,2008-02-29,381625,2009-03-31,15565,13
36 months,E,2008-02-29,381625,2009-06-30,9042,16
36 months,E,2008-02-29,381625,2009-09-30,6382,19
36 months,E,2008-02-29,381625,2010-02-28,6360,24
36 months,E,2008-02-29,381625,2010-07-31,3048,29
36 months,E,2008-02-29,381625,2010-11-30,4987,33
36 months,E,2008-02-29,381625,2011-01-31,2816,35
36 months,E,2008-03-31,606050,,,
36 months,E,2008-03-31,606050,2008-10-31,10697,7
36 months,E,2008-03-31,606050,2008-12-31,3250,9
36 months,E,2008-03-31,606050,2009-08-31,13780,17
36 months,E,2008-03-31,606050,2009-09-30,5351,18
36 months,E,2008-03-31,606050,2009-12-31,4394,21
36 months,E,2008-03-31,606050,2010-05-31,11741,26
36 months,E,2008-03-31,606050,2010-08-31,7093,29
36 months,E,2008-03-31,606050,2011-01-31,946,34
36 months,E,2008-03-31,606050,2011-08-31,3819,41
36 months,E,2008-04-30,307350,,,
36 months,E,2008-04-30,307350,2008-10-31,3552,6
36 months,E,2008-04-30,307350,2009-05-31,9479,13
36 months,E,2008-04-30,307350,2009-06-30,14062,14
36 months,E,2008-04-30,307350,2009-07-31,15283,15
36 months,E,2008-04-30,307350,2009-11-30,3858,19
36 months,E,2008-04-30,307350,2010-01-31,765,21
36 months,E,2008-04-30,307350,2010-03-31,4996,23
36 months,E,2008-04-30,307350,2010-04-30,4060,24
36 months,E,2008-04-30,307350,2010-05-31,4960,25
36 months,E,2008-04-30,307350,2010-10-31,2478,30
36 months,E,2008-04-30,307350,2011-01-31,6582,33
36 months,E,2008-04-30,307350,2011-04-30,5810,36
36 months,E,2008-04-30,307350,2012-05-31,2328,49
36 months,E,2008-05-31,75700,,,
36 months,E,2008-05-31,75700,2009-02-28,1820,9
36 months,E,2008-05-31,75700,2009-05-31,2512,12
36 months,E,2008-05-31,75700,2010-07-31,5550,26
36 months,E,2008-05-31,75700,2011-02-28,2924,33
36 months,E,2008-06-30,42500,,,
36 months,E,2008-06-30,42500,2009-07-31,4072,13
36 months,E,2008-06-30,42500,2009-12-31,1611,18
36 months,E,2008-07-31,108750,,,
36 months,E,2008-07-31,108750,2009-02-28,2864,7
36 months,E,2008-07-31,108750,2009-05-31,6653,10
36 months,E,2008-07-31,108750,2010-08-31,3759,25
36 months,E,2008-07-31,108750,2010-10-31,1417,27
36 months,E,2008-07-31,108750,2010-12-31,2071,29
36 months,E,2008-07-31,108750,2011-04-30,1987,33
36 months,E,2008-08-31,61500,,,
36 months,E,2008-08-31,61500,2011-07-31,2405,35
36 months,E,2008-09-30,45000,,,
36 months,E,2008-09-30,45000,2009-12-31,5366,15
36 months,E,2008-09-30,45000,2010-07-31,2978,22
36 months,E,2008-10-31,78500,,,
36 months,E,2008-10-31,78500,2010-08-31,1162,22
36 months,E,2008-11-30,279400,,,
36 months,E,2008-11-30,279400,2009-08-31,22753,9
36 months,E,2008-11-30,279400,2009-09-30,22171,10
36 months,E,2008-11-30,279400,2010-01-31,13436,14
36 months,E,2008-11-30,279400,2010-04-30,5020,17
36 months,E,2008-11-30,279400,2010-10-31,5564,23
36 months,E,2008-11-30,279400,2012-05-31,415,42
36 months,E,2008-12-31,179250,,,
36 months,E,2008-12-31,179250,2009-10-31,8876,10
36 months,E,2008-12-31,179250,2009-11-30,8642,11
36 months,E,2009-01-31,151550,,,
36 months,E,2009-01-31,151550,2009-10-31,13677,9
36 months,E,2009-01-31,151550,2010-02-28,4040,13
36 months,E,2009-01-31,151550,2010-03-31,3970,14
36 months,E,2009-01-31,151550,2010-08-31,6640,19
36 months,E,2009-02-28,375925,,,
36 months,E,2009-02-28,375925,2009-11-30,2336,9
36 months,E,2009-02-28,375925,2009-12-31,13678,10
36 months,E,2009-02-28,375925,2010-03-31,13468,13
36 months,E,2009-02-28,375925,2010-05-31,13678,15
36 months,E,2009-02-28,375925,2010-06-30,3582,16
36 months,E,2009-02-28,375925,2011-05-31,9403,27
36 months,E,2009-02-28,375925,2014-09-30,3025,67
36 months,E,2009-03-31,394400,,,
36 months,E,2009-03-31,394400,2009-11-30,16818,8
36 months,E,2009-03-31,394400,2010-04-30,8405,13
36 months,E,2009-03-31,394400,2011-07-31,6700,28
36 months,E,2009-03-31,394400,2011-08-31,2672,29
36 months,E,2009-03-31,394400,2012-01-31,2311,34
36 months,E,2009-04-30,307375,,,
36 months,E,2009-04-30,307375,2009-12-31,9186,8
36 months,E,2009-04-30,307375,2010-02-28,8885,10
36 months,E,2009-04-30,307375,2010-08-31,10807,16
36 months,E,2009-04-30,307375,2011-02-28,1908,22
36 months,E,2009-04-30,307375,2011-05-31,14857,25
36 months,E,2009-04-30,307375,2011-10-31,3956,30
36 months,E,2009-05-31,198450,,,
36 months,E,2009-05-31,198450,2009-10-31,4600,5
36 months,E,2009-05-31,198450,2009-12-31,5870,7
36 months,E,2009-05-31,198450,2010-06-30,15576,13
36 months,E,2009-05-31,198450,2010-08-31,16120,15
36 months,E,2009-06-30,89600,,,
36 months,E,2009-06-30,89600,2009-11-30,2000,5
36 months,E,2009-06-30,89600,2011-04-30,7289,22
36 months,E,2009-06-30,89600,2012-09-30,2218,39
36 months,E,2009-07-31,234700,,,
36 months,E,2009-07-31,234700,2010-01-31,24461,6
36 months,E,2009-07-31,234700,2010-08-31,7374,13
36 months,E,2009-07-31,234700,2011-12-31,2265,29
36 months,E,2009-07-31,234700,2012-01-31,4317,30
36 months,E,2009-08-31,355975,,,
36 months,E,2009-08-31,355975,2010-06-30,6641,10
36 months,E,2009-08-31,355975,2011-03-31,13929,19
36 months,E,2009-08-31,355975,2011-07-31,13964,23
36 months,E,2009-08-31,355975,2011-09-30,2528,25
36 months,E,2009-08-31,355975,2011-12-31,11844,28
36 months,E,2009-09-30,420225,,,
36 months,E,2009-09-30,420225,2010-02-28,20000,5
36 months,E,2009-09-30,420225,2010-06-30,4558,9
36 months,E,2009-09-30,420225,2010-09-30,22967,12
36 months,E,2009-09-30,420225,2011-02-28,12177,17
36 months,E,2009-09-30,420225,2011-03-31,7230,18
36 months,E,2009-09-30,420225,2011-04-30,32630,19
36 months,E,2009-09-30,420225,2012-02-29,7834,29
36 months,E,2009-10-31,449325,,,
36 months,E,2009-10-31,449325,2011-02-28,28919,16
36 months,E,2009-10-31,449325,2011-03-31,15977,17
36 months,E,2009-10-31,449325,2012-02-29,9579,28
36 months,E,2009-11-30,408250,,,
36 months,E,2009-11-30,408250,2010-05-31,14188,6
36 months,E,2009-11-30,408250,2010-07-31,20943,8
36 months,E,2009-11-30,408250,2010-11-30,12229,12
36 months,E,2009-11-30,408250,2010-12-31,4103,13
36 months,E,2009-11-30,408250,2011-01-31,11168,14
36 months,E,2009-11-30,408250,2013-03-31,971,40
36 months,E,2009-12-31,279400,,,
36 months,E,2009-12-31,279400,2011-08-31,10215,20
36 months,E,2009-12-31,279400,2012-02-29,7652,26
36 months,E,2009-12-31,279400,2012-05-31,1860,29
36 months,E,2009-12-31,279400,2012-10-31,5678,34
36 months,E,2009-12-31,279400,2013-03-31,2075,39
36 months,E,2010-01-31,567300,,,
36 months,E,2010-01-31,567300,2010-06-30,7750,5
36 months,E,2010-01-31,567300,2010-11-30,4269,10
36 months,E,2010-01-31,567300,2011-03-31,19847,14
36 months,E,2010-01-31,567300,2011-05-31,19308,16
36 months,E,2010-01-31,567300,2011-08-31,17401,19
36 months,E,2010-01-31,567300,2011-11-30,1180,22
36 months,E,2010-01-31,567300,2012-07-31,2678,30
36 months,E,2010-01-31,567300,2012-08-31,6112,31
36 months,E,2010-01-31,567300,2013-01-31,14602,36
36 months,E,2010-02-28,283475,,,
36 months,E,2010-02-28,283475,2010-09-30,3828,7
36 months,E,2010-02-28,283475,2011-02-28,7161,12
36 months,E,2010-02-28,283475,2011-03-31,20458,13
36 months,E,2010-02-28,283475,2011-06-30,18577,16
36 months,E,2010-02-28,283475,2011-09-30,11035,19
36 months,E,2010-03-31,588300,,,
36 months,E,2010-03-31,588300,2010-12-31,4673,9
36 months,E,2010-03-31,588300,2011-04-30,4219,13
36 months,E,2010-03-31,588300,2011-05-31,11193,14
36 months,E,2010-03-31,588300,2011-11-30,2019,20
36 months,E,2010-03-31,588300,2012-05-31,2556,26
36 months,E,2010-03-31,588300,2012-08-31,9128,29
36 months,E,2010-03-31,588300,2012-09-30,3064,30
36 months,E,2010-03-31,588300,2013-06-30,2796,39
36 months,E,2010-04-30,349575,,,
36 months,E,2010-04-30,349575,2010-09-30,4200,5
36 months,E,2010-04-30,349575,2011-06-30,3358,14
36 months,E,2010-04-30,349575,2012-12-31,7099,32
36 months,E,2010-04-30,349575,2013-09-30,278,41
36 months,E,2010-05-31,277750,,,
36 months,E,2010-05-31,277750,2011-03-31,21358,10
36 months,E,2010-05-31,277750,2011-05-31,8424,12
36 months,E,2010-05-31,277750,2011-07-31,4766,14
36 months,E,2010-05-31,277750,2011-08-31,15424,15
36 months,E,2010-05-31,277750,2011-09-30,7737,16
36 months,E,2010-05-31,277750,2012-02-29,6188,21
36 months,E,2010-05-31,277750,2012-11-30,2186,30
36 months,E,2010-05-31,277750,2013-02-28,4284,33
36 months,E,2010-05-31,277750,2013-12-31,8269,43
36 months,E,2010-06-30,183600,,,
36 months,E,2010-06-30,183600,2011-07-31,2951,13
36 months,E,2010-06-30,183600,2011-10-31,1120,16
36 months,E,2010-06-30,183600,2013-07-31,3663,37
36 months,E,2010-07-31,302900,,,
36 months,E,2010-07-31,302900,2012-02-29,3473,19
36 months,E,2010-07-31,302900,2012-04-30,4510,21
36 months,E,2010-07-31,302900,2012-09-30,1932,26
36 months,E,2010-08-31,304900,,,
36 months,E,2010-08-31,304900,2011-09-30,11581,13
36 months,E,2010-08-31,304900,2011-12-31,5540,16
36 months,E,2010-08-31,304900,2012-01-31,17279,17
36 months,E,2010-08-31,304900,2012-05-31,16544,21
36 months,E,2010-08-31,304900,2012-06-30,5547,22
36 months,E,2010-08-31,304900,2012-11-30,4779,27
36 months,E,2010-08-31,304900,2013-05-31,2373,33
36 months,E,2010-09-30,298450,,,
36 months,E,2010-09-30,298450,2011-02-28,4000,5
36 months,E,2010-09-30,298450,2011-03-31,9789,6
36 months,E,2010-09-30,298450,2011-07-31,5470,10
36 months,E,2010-09-30,298450,2011-10-31,2630,13
36 months,E,2010-09-30,298450,2012-07-31,3080,22
36 months,E,2010-09-30,298450,2012-12-31,4793,27
36 months,E,2010-09-30,298450,2013-06-30,1827,33
36 months,E,2010-10-31,347450,,,
36 months,E,2010-10-31,347450,2011-08-31,912,10
36 months,E,2010-10-31,347450,2011-12-31,1990,14
36 months,E,2010-10-31,347450,2012-05-31,19013,19
36 months,E,2010-10-31,347450,2012-06-30,10438,20
36 months,E,2010-10-31,347450,2012-11-30,2568,25
36 months,E,2010-10-31,347450,2013-02-28,2524,28
36 months,E,2010-10-31,347450,2013-07-31,12272,33
36 months,E,2010-11-30,237400,,,
36 months,E,2010-11-30,237400,2011-08-31,4677,9
36 months,E,2010-11-30,237400,2012-06-30,10909,19
36 months,E,2010-11-30,237400,2012-07-31,7117,20
36 months,E,2010-11-30,237400,2012-12-31,13040,25
36 months,E,2010-12-31,278650,,,
36 months,E,2011-01-31,360750,,,
36 months,E,2011-01-31,360750,2012-09-30,18066,20
36 months,E,2011-01-31,360750,2012-10-31,16208,21
36 months,E,2011-01-31,360750,2013-02-28,7583,25
36 months,E,2011-02-28,331100,,,
36 months,E,2011-02-28,331100,2011-11-30,14960,9
36 months,E,2011-02-28,331100,2012-04-30,5751,14
36 months,E,2011-02-28,331100,2012-09-30,11117,19
36 months,E,2011-02-28,331100,2013-05-31,3839,27
36 months,E,2011-02-28,331100,2013-09-30,1660,31
36 months,E,2011-02-28,331100,2014-04-30,1408,38
36 months,E,2011-03-31,304650,,,
36 months,E,2011-03-31,304650,2012-02-29,12985,11
36 months,E,2011-04-30,199625,,,
36 months,E,2011-04-30,199625,2012-11-30,6967,19
36 months,E,2011-04-30,199625,2013-07-31,1277,27
36 months,E,2011-05-31,222450,,,
36 months,E,2011-05-31,222450,2012-12-31,6995,19
36 months,E,2011-06-30,269300,,,
36 months,E,2011-06-30,269300,2011-11-30,2000,5
36 months,E,2011-06-30,269300,2012-05-31,9578,11
36 months,E,2011-06-30,269300,2012-07-31,19817,13
36 months,E,2011-06-30,269300,2012-09-30,1599,15
36 months,E,2011-06-30,269300,2013-08-31,4837,26
36 months,E,2011-06-30,269300,2013-12-31,11917,30
36 months,E,2011-07-31,454500,,,
36 months,E,2011-07-31,454500,2012-07-31,3478,12
36 months,E,2011-07-31,454500,2012-08-31,4058,13
36 months,E,2011-07-31,454500,2012-09-30,3833,14
36 months,E,2011-07-31,454500,2012-12-31,5812,17
36 months,E,2011-07-31,454500,2013-05-31,4680,22
36 months,E,2011-07-31,454500,2013-09-30,17049,26
36 months,E,2011-07-31,454500,2014-02-28,6085,31
36 months,E,2011-07-31,454500,2015-07-31,2051,48
36 months,E,2011-08-31,300900,,,
36 months,E,2011-08-31,300900,2012-02-29,1175,6
36 months,E,2011-08-31,300900,2012-04-30,8620,8
36 months,E,2011-08-31,300900,2012-05-31,4569,9
36 months,E,2011-08-31,300900,2012-06-30,914,10
36 months,E,2011-08-31,300900,2013-07-31,9766,23
36 months,E,2011-08-31,300900,2014-01-31,5168,29
36 months,E,2011-08-31,300900,2014-07-31,6073,35
36 months,E,2011-09-30,233450,,,
36 months,E,2011-09-30,233450,2012-09-30,6485,12
36 months,E,2011-09-30,233450,2012-12-31,2403,15
36 months,E,2011-10-31,281175,,,
36 months,E,2011-10-31,281175,2014-08-31,8945,34
36 months,E,2011-11-30,320800,,,
36 months,E,2011-11-30,320800,2012-07-31,8218,8
36 months,E,2011-11-30,320800,2013-09-30,1443,22
36 months,E,2011-11-30,320800,2013-11-30,3475,24
36 months,E,2011-11-30,320800,2014-01-31,11094,26
36 months,E,2011-11-30,320800,2014-03-31,2998,28
36 months,E,2011-11-30,320800,2014-06-30,3692,31
36 months,E,2011-11-30,320800,2015-01-31,1013,38
36 months,E,2011-11-30,320800,2015-02-28,1730,39
36 months,E,2011-12-31,340750,,,
36 months,E,2011-12-31,340750,2013-02-28,1199,14
36 months,E,2011-12-31,340750,2013-03-31,17260,15
36 months,E,2011-12-31,340750,2013-06-30,9463,18
36 months,E,2011-12-31,340750,2013-08-31,2612,20
36 months,E,2011-12-31,340750,2013-09-30,627,21
36 months,E,2011-12-31,340750,2014-10-31,7934,34
36 months,E,2012-01-31,784075,,,
36 months,E,2012-01-31,784075,2012-08-31,9796,7
36 months,E,2012-01-31,784075,2012-10-31,9449,9
36 months,E,2012-01-31,784075,2013-02-28,26172,13
36 months,E,2012-01-31,784075,2013-03-31,20008,14
36 months,E,2012-01-31,784075,2013-07-31,8002,18
36 months,E,2012-01-31,784075,2013-08-31,17563,19
36 months,E,2012-01-31,784075,2014-01-31,2281,24
36 months,E,2012-01-31,784075,2014-04-30,5345,27
36 months,E,2012-01-31,784075,2014-09-30,8061,32
36 months,E,2012-01-31,784075,2014-11-30,8461,34
36 months,E,2012-01-31,784075,2014-12-31,1524,35
36 months,E,2012-02-29,1141675,,,
36 months,E,2012-02-29,1141675,2012-08-31,34272,6
36 months,E,2012-02-29,1141675,2013-01-31,30480,11
36 months,E,2012-02-29,1141675,2013-04-30,21573,14
36 months,E,2012-02-29,1141675,2013-06-30,5108,16
36 months,E,2012-02-29,1141675,2013-09-30,15838,19
36 months,E,2012-02-29,1141675,2014-02-28,14361,24
36 months,E,2012-02-29,1141675,2014-07-31,20589,29
36 months,E,2012-03-31,952025,,,
36 months,E,2012-03-31,952025,2013-01-31,31297,10
36 months,E,2012-03-31,952025,2013-12-31,23090,21
36 months,E,2012-03-31,952025,2014-01-31,3020,22
36 months,E,2012-03-31,952025,2014-03-31,20204,24
36 months,E,2012-03-31,952025,2014-06-30,9849,27
36 months,E,2012-03-31,952025,2014-08-31,11146,29
36 months,E,2012-03-31,952025,2015-03-31,6463,36
36 months,E,2012-04-30,813675,,,
36 months,E,2012-04-30,813675,2012-11-30,23512,7
36 months,E,2012-04-30,813675,2013-01-31,31101,9
36 months,E,2012-04-30,813675,2013-08-31,22690,16
36 months,E,2012-04-30,813675,2014-08-31,14061,28
36 months,E,2012-04-30,813675,2014-09-30,9388,29
36 months,E,2012-04-30,813675,2014-10-31,8765,30
36 months,E,2012-04-30,813675,2015-05-31,3659,37
36 months,E,2012-05-31,1110650,,,
36 months,E,2012-05-31,1110650,2012-11-30,12811,6
36 months,E,2012-05-31,1110650,2013-01-31,32879,8
36 months,E,2012-05-31,1110650,2013-04-30,13104,11
36 months,E,2012-05-31,1110650,2013-05-31,20716,12
36 months,E,2012-05-31,1110650,2013-06-30,26265,13
36 months,E,2012-05-31,1110650,2013-07-31,6429,14
36 months,E,2012-05-31,1110650,2013-09-30,6234,16
36 months,E,2012-05-31,1110650,2013-10-31,14501,17
36 months,E,2012-05-31,1110650,2013-12-31,14206,19
36 months,E,2012-05-31,1110650,2014-02-28,3145,21
36 months,E,2012-05-31,1110650,2014-05-31,16269,24
36 months,E,2012-05-31,1110650,2015-10-31,4796,41
36 months,E,2012-06-30,1143000,,,
36 months,E,2012-06-30,1143000,2013-03-31,7384,9
36 months,E,2012-06-30,1143000,2013-07-31,4602,13
36 months,E,2012-06-30,1143000,2013-08-31,16080,14
36 months,E,2012-06-30,1143000,2013-09-30,19914,15
36 months,E,2012-06-30,1143000,2013-10-31,26427,16
36 months,E,2012-06-30,1143000,2013-11-30,18726,17
36 months,E,2012-06-30,1143000,2013-12-31,3412,18
36 months,E,2012-06-30,1143000,2014-01-31,28605,19
36 months,E,2012-06-30,1143000,2014-02-28,14950,20
36 months,E,2012-06-30,1143000,2014-03-31,22903,21
36 months,E,2012-06-30,1143000,2014-04-30,29754,22
36 months,E,2012-06-30,1143000,2014-05-31,26827,23
36 months,E,2012-06-30,1143000,2014-06-30,25761,24
36 months,E,2012-06-30,1143000,2014-07-31,18223,25
36 months,E,2012-06-30,1143000,2014-09-30,14988,27
36 months,E,2012-06-30,1143000,2015-02-28,6790,32
36 months,E,2012-06-30,1143000,2015-03-31,4680,33
36 months,E,2012-07-31,1402375,,,
36 months,E,2012-07-31,1402375,2013-03-31,36299,8
36 months,E,2012-07-31,1402375,2013-05-31,31332,10
36 months,E,2012-07-31,1402375,2013-06-30,7099,11
36 months,E,2012-07-31,1402375,2013-07-31,28963,12
36 months,E,2012-07-31,1402375,2013-08-31,26413,13
36 months,E,2012-07-31,1402375,2014-01-31,24239,18
36 months,E,2012-07-31,1402375,2014-02-28,17720,19
36 months,E,2012-07-31,1402375,2014-11-30,6296,28
36 months,E,2012-07-31,1402375,2015-01-31,2999,30
36 months,E,2012-07-31,1402375,2015-02-28,6665,31
36 months,E,2012-07-31,1402375,2015-03-31,19539,32
36 months,E,2012-08-31,1559950,,,
36 months,E,2012-08-31,1559950,2013-02-28,2939,6
36 months,E,2012-08-31,1559950,2013-05-31,17094,9
36 months,E,2012-08-31,1559950,2013-07-31,29717,11
36 months,E,2012-08-31,1559950,2013-08-31,30575,12
36 months,E,2012-08-31,1559950,2013-09-30,8276,13
36 months,E,2012-08-31,1559950,2013-11-30,23483,15
36 months,E,2012-08-31,1559950,2014-03-31,9973,19
36 months,E,2012-08-31,1559950,2014-04-30,17849,20
36 months,E,2012-08-31,1559950,2014-05-31,9733,21
36 months,E,2012-08-31,1559950,2014-08-31,13832,24
36 months,E,2012-08-31,1559950,2014-10-31,3442,26
36 months,E,2012-08-31,1559950,2014-11-30,13364,27
36 months,E,2012-08-31,1559950,2015-01-31,11852,29
36 months,E,2012-08-31,1559950,2015-07-31,3776,35
36 months,E,2012-08-31,1559950,2015-08-31,3721,36
36 months,E,2012-08-31,1559950,2015-10-31,27638,38
36 months,E,2012-08-31,1559950,2015-11-30,11576,39
36 months,E,2012-09-30,1373425,,,
36 months,E,2012-09-30,1373425,2013-08-31,23635,11
36 months,E,2012-09-30,1373425,2013-12-31,28183,15
36 months,E,2012-09-30,1373425,2014-01-31,11675,16
36 months,E,2012-09-30,1373425,2014-02-28,15130,17
36 months,E,2012-09-30,1373425,2014-05-31,5247,20
36 months,E,2012-09-30,1373425,2014-08-31,8642,23
36 months,E,2012-09-30,1373425,2014-10-31,18403,25
36 months,E,2012-09-30,1373425,2014-11-30,12361,26
36 months,E,2012-09-30,1373425,2015-01-31,450,28
36 months,E,2012-10-31,1992875,,,
36 months,E,2012-10-31,1992875,2013-06-30,9428,8
36 months,E,2012-10-31,1992875,2013-11-30,45641,13
36 months,E,2012-10-31,1992875,2014-01-31,19368,15
36 months,E,2012-10-31,1992875,2014-02-28,17450,16
36 months,E,2012-10-31,1992875,2014-03-31,17559,17
36 months,E,2012-10-31,1992875,2014-06-30,23131,20
36 months,E,2012-10-31,1992875,2014-08-31,6099,22
36 months,E,2012-10-31,1992875,2014-10-31,18442,24
36 months,E,2012-10-31,1992875,2014-12-31,7645,26
36 months,E,2012-10-31,1992875,2015-01-31,13003,27
36 months,E,2012-10-31,1992875,2015-02-28,10622,28
36 months,E,2012-10-31,1992875,2015-05-31,22928,31
36 months,E,2012-10-31,1992875,2015-06-30,11050,32
36 months,E,2012-10-31,1992875,2015-07-31,11089,33
36 months,E,2012-11-30,2326750,,,
36 months,E,2012-11-30,2326750,2013-08-31,29330,9
36 months,E,2012-11-30,2326750,2013-12-31,24240,13
36 months,E,2012-11-30,2326750,2014-01-31,45978,14
36 months,E,2012-11-30,2326750,2014-03-31,11363,16
36 months,E,2012-11-30,2326750,2014-07-31,32687,20
36 months,E,2012-11-30,2326750,2014-08-31,13195,21
36 months,E,2012-11-30,2326750,2014-12-31,10445,25
36 months,E,2012-11-30,2326750,2015-03-31,14520,28
36 months,E,2012-12-31,1432950,,,
36 months,E,2012-12-31,1432950,2013-08-31,35604,8
36 months,E,2012-12-31,1432950,2013-09-30,1837,9
36 months,E,2012-12-31,1432950,2013-10-31,10299,10
36 months,E,2012-12-31,1432950,2013-11-30,24489,11
36 months,E,2012-12-31,1432950,2013-12-31,3065,12
36 months,E,2012-12-31,1432950,2014-01-31,41992,13
36 months,E,2012-12-31,1432950,2014-02-28,13693,14
36 months,E,2012-12-31,1432950,2014-04-30,25053,16
36 months,E,2012-12-31,1432950,2014-05-31,30263,17
36 months,E,2012-12-31,1432950,2014-06-30,6596,18
36 months,E,2012-12-31,1432950,2014-07-31,1617,19
36 months,E,2012-12-31,1432950,2014-08-31,2150,20
36 months,E,2012-12-31,1432950,2014-09-30,1063,21
36 months,E,2012-12-31,1432950,2014-11-30,16460,23
36 months,E,2012-12-31,1432950,2015-03-31,2099,27
36 months,E,2012-12-31,1432950,2015-06-30,17504,30
36 months,E,2012-12-31,1432950,2015-09-30,13605,33
36 months,E,2013-01-31,1081675,,,
36 months,E,2013-01-31,1081675,2013-06-30,3000,5
36 months,E,2013-01-31,1081675,2013-10-31,12219,9
36 months,E,2013-01-31,1081675,2013-12-31,40102,11
36 months,E,2013-01-31,1081675,2014-01-31,19855,12
36 months,E,2013-01-31,1081675,2014-02-28,8812,13
36 months,E,2013-01-31,1081675,2014-03-31,24234,14
36 months,E,2013-01-31,1081675,2014-07-31,22333,18
36 months,E,2013-01-31,1081675,2014-08-31,32284,19
36 months,E,2013-01-31,1081675,2014-12-31,20844,23
36 months,E,2013-01-31,1081675,2015-03-31,17098,26
36 months,E,2013-01-31,1081675,2015-05-31,1958,28
36 months,E,2013-01-31,1081675,2015-06-30,1090,29
36 months,E,2013-02-28,1095000,,,
36 months,E,2013-02-28,1095000,2013-07-31,10500,5
36 months,E,2013-02-28,1095000,2013-08-31,2817,6
36 months,E,2013-02-28,1095000,2013-10-31,23472,8
36 months,E,2013-02-28,1095000,2013-11-30,53674,9
36 months,E,2013-02-28,1095000,2013-12-31,4433,10
36 months,E,2013-02-28,1095000,2014-01-31,33505,11
36 months,E,2013-02-28,1095000,2014-03-31,18968,13
36 months,E,2013-02-28,1095000,2014-04-30,15761,14
36 months,E,2013-02-28,1095000,2014-05-31,24000,15
36 months,E,2013-02-28,1095000,2014-08-31,27586,18
36 months,E,2013-02-28,1095000,2014-09-30,24023,19
36 months,E,2013-02-28,1095000,2014-11-30,2762,21
36 months,E,2013-02-28,1095000,2015-01-31,3697,23
36 months,E,2013-02-28,1095000,2015-05-31,25778,27
36 months,E,2013-02-28,1095000,2015-06-30,20219,28
36 months,E,2013-02-28,1095000,2015-10-31,2083,32
36 months,E,2013-03-31,1366525,,,
